country,iso2,iso3,iso_numeric,g_whoregion,year,c_cdr,c_cdr_2015data
India,IN,IND,356,SEA,1990,80,
India,IN,IND,356,SEA,1991,81,
India,IN,IND,356,SEA,1992,57,
India,IN,IND,356,SEA,1993,54,
India,IN,IND,356,SEA,1994,55,
India,IN,IND,356,SEA,1995,59,
India,IN,IND,356,SEA,1996,61,
India,IN,IND,356,SEA,1997,52,
India,IN,IND,356,SEA,1998,50,
India,IN,IND,356,SEA,1999,54,
India,IN,IND,356,SEA,2000,49,37
India,IN,IND,356,SEA,2001,47,35
India,IN,IND,356,SEA,2002,45,34
India,IN,IND,356,SEA,2003,45,34
India,IN,IND,356,SEA,2004,48,36
India,IN,IND,356,SEA,2005,48,36
India,IN,IND,356,SEA,2006,52,39
India,IN,IND,356,SEA,2007,55,41
India,IN,IND,356,SEA,2008,57,43
India,IN,IND,356,SEA,2009,58,44
India,IN,IND,356,SEA,2010,59,44
India,IN,IND,356,SEA,2011,59,44
India,IN,IND,356,SEA,2012,58,44
India,IN,IND,356,SEA,2013,57,43
India,IN,IND,356,SEA,2014,74,56
India,IN,IND,356,SEA,2015,,59
